V1	V2
8677312	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0005743,GO:0006120,GO:0070469
8677313	GO:0046872,GO:0016020,GO:0016021,GO:0020037,GO:0055114,GO:0005739,GO:0005743,GO:0070469,GO:0004129,GO:0006119,GO:0009060,GO:0022900,GO:0046686,GO:0051597,GO:1902600,GO:0045277
8677314	GO:0046872,GO:0016020,GO:0016021,GO:0055114,GO:0005739,GO:0005743,GO:0070469,GO:0004129,GO:1902600,GO:0005507,GO:0016491,GO:0022900
8677315	GO:0016020,GO:0016021,GO:0006811,GO:0005739,GO:0015078,GO:0015986,GO:0000276,GO:0031966,GO:0045263,GO:0006754
8677316	GO:0016020,GO:0016021,GO:0006811,GO:0005739,GO:0005743,GO:0015078,GO:0015986,GO:0045263,GO:0006754
8677317	GO:0016020,GO:0016021,GO:0005739,GO:0004129,GO:1902600,GO:0015002,GO:0019646,GO:0022904
8677318	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0070469,GO:0031966
8677319	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0070469,GO:0031966,GO:0016651,GO:0042773
8677320	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0070469,GO:0031966,GO:0042773
8677321	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0005743,GO:0042773
8677322	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0070469,GO:0031966
8677323	GO:0046872,GO:0016020,GO:0016021,GO:0055114,GO:0005739,GO:0005743,GO:0070469,GO:0016491,GO:0022904,GO:0008121,GO:0009055,GO:0045275
8677324	GO:0016020,GO:0016021,GO:0055114,GO:0008137,GO:0005739,GO:0005743
100533461	GO:0034650,GO:0016705,GO:0005506,GO:0020037,GO:0055114,GO:0046872,GO:0016491,GO:0004497
100533979	GO:0005634,GO:0005737
100533980	GO:0003677,GO:0005634,
100533981	GO:0008201,GO:0016525,GO:0006954,GO:0007155,GO:0005576,GO:0005515,GO:0005615,GO:0005509,GO:0050840
100533982	GO:0005576,GO:0005615,GO:0005509,GO:0007155,GO:0016525,GO:0006954,GO:0050840,GO:0008201,GO:0005515
100534395	GO:0004963,GO:0004996,GO:0016500,GO:0005515,GO:0007186,GO:0004930,GO:0016021,GO:0007283,GO:0008585,GO:0001541,GO:0008584
100534396	GO:0046872,GO:0016020,GO:0016021,GO:0016491,GO:0020037,GO:0055114,GO:0004497,GO:0005506,GO:0016705
100534397	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0016323,GO:0004996,GO:0016500,GO:0038194,GO:0005515
100534398	GO:0046872,GO:0008270,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0005739,GO:0005737,GO:0043565,GO:0005856,GO:0005496,GO:0006325,GO:0005819,GO:0004883,GO:0042921,GO:0043402,GO:0045893,GO:0043009,GO:0019222,GO:0033555,GO:0036367,GO:0048512,GO:0048703,GO:0050801,GO:0051384,GO:0051414,GO:0055074,GO:0055078,GO:0070509,GO:0071548,GO:0120029,GO:1902036
100534399	GO:0005509,GO:0005544,GO:0050819,GO:0005737,GO:2000145
100534400	GO:0016020,GO:0016021,GO:0005886,GO:0004896,GO:0019221,GO:0006897,GO:0005515
100534401	GO:0005518,GO:0005576,GO:0005509,GO:0005515
100534402	GO:0010508,GO:0005518,GO:0005515,GO:0030021
100534403	GO:0008236,GO:0004252,GO:0006508,GO:0016787,GO:0008233,GO:0031410,GO:0030133
100534405	GO:0008236,GO:0004252,GO:0006508,GO:0016787,GO:0008233
100534408	GO:0004386,GO:0003676,GO:0005524
100534409	GO:0046872,GO:0008270,GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0043565
100534411	
100534412	
100534413	,GO:0005737,GO:0010628,GO:0090131,GO:0030027,GO:0030175,GO:0044297
100534414	,GO:0005856,GO:0005886,GO:0005925,GO:0097433
100534415	GO:0006879,GO:0051537,GO:0005576,GO:0042742
100534416	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0016323,GO:0004996,GO:0016500,GO:0038194,GO:0001501,GO:0005515
100534417	GO:0038161,GO:0004925,GO:0005515
100534419	GO:0005242,GO:0006813,GO:0016021,GO:0016020,GO:0005244,GO:0006811,GO:0034220,GO:0034765,GO:0071805
100534420	GO:0046872,GO:0008270,GO:0006355,GO:0005634,GO:0003677,GO:0003700,GO:0043565,GO:0006357,GO:0045893,GO:0000981,GO:0001889,GO:0001947,GO:0007507,GO:0030099,GO:0035050,GO:0045944,GO:0048797,GO:0055010,GO:0060975,GO:0061026
100534421	GO:0016020,GO:0016021,GO:0005242,GO:0005244,GO:0006811,GO:0006813,GO:0034220,GO:0034765,GO:0071805
100534422	GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534423	GO:0006355,GO:0003677,GO:0005634,GO:0003700,GO:0007275,GO:0006357,GO:0000981
100534425	GO:0005515
100534426	GO:0005515,GO:0004364
100534428	GO:0005576,GO:0005179,GO:0007165
100534430	
100534431	GO:0003746,GO:0006414,GO:0005525,GO:0003924,GO:0000166,GO:0006412
100534432	GO:0016491,GO:0055114
100534433	GO:0016491,GO:0055114
100534434	GO:0006468,GO:0005524,GO:0004672,GO:0000166,GO:0004674
100534436	GO:0005840,GO:0006412,GO:0003735
100534440	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0030054,GO:0005887,GO:0045202,GO:0045211,GO:0016907,GO:0007213
100534441	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0030054,GO:0005887,GO:0045202,GO:0045211,GO:0016907,GO:0007213,GO:0008016,GO:0010459
100534444	GO:0016020,GO:0016021,GO:0005886,GO:0004930,GO:0007165,GO:0007186,GO:0030054,GO:0005887,GO:0045202,GO:0045211,GO:0016907,GO:0007213
100534446	GO:0009725,GO:0004806,GO:0052689,GO:0006629,GO:0005515,GO:0005576,GO:0046872,GO:0034364,GO:0004622,GO:0008970,GO:0052739,GO:0052740,GO:0102545
100534449	GO:0005840,GO:0006412,GO:0003735,GO:0003723
100534450	GO:0016020,GO:0016021,GO:0016491,GO:0055114,GO:0003854,GO:0016616,GO:0006694
100534452	GO:0005131,GO:0005576,GO:0005179,GO:0005615,GO:0007165,GO:0070186,GO:0050996,GO:0060612
100534453	GO:0042626,GO:0016887,GO:0055085,GO:0005524,GO:0016021,GO:0000166,GO:0016020,GO:0015462,GO:0015562,GO:0019534,GO:0009636
100534454	GO:0006351,GO:0003899,GO:0003677,GO:0005634
