species_id	species_abb	tribe_id	median_exploration
1	Tylpol	1	0.294117647
2	Oretan	2	0.470588236
3	Boumic	3	0.665158371
4	Trenig	4	0.061085973
5	Tremar	4	0.06561086
6	Batfas	5	0.048642534
7	Altfas	6	0.019230769
8	Lamcal	6	0.00678733
9	Neocau	6	0.0260181
10	Altcom	6	0.011312217
11	Neomul	6	0.057692308
12	Lamlem	6	0.013574661
13	Lepelo	6	0.015837105
14	Lepatt	6	0.016968326
15	Varmoo	6	0.110859729
16	Neofur	6	0.053167421
17	Chabri	6	0.271493213
18	Julorn	6	0.067873303
19	Neopul	6	0.141402715
20	Neotet	6	0.07239819
21	Lepcun	6	0.152714932
22	Telvit	6	0.096153846
23	TelteS	6	0.123303168
24	TeldhS	6	0.018099548
25	Cphgib	7	0.529411765
26	Lchaur	8	0.067873303
27	Trioto	8	0.14479638
28	Gnaper	8	0.28959276
29	Gralem	9	0.17760181
30	Calmac	9	0.047511312
31	Ectdes	9	0.033936652
32	Auldew	9	0.044117647
33	Cyafur	9	0.113122172
34	Ophven	9	0.028280543
35	Asplep	9	0.160633485
36	Xenbou	9	0.126696833
37	Xenspi	9	0.175339367
38	Xenfla	9	0.036199095
39	Enamel	9	0.157239819
40	Benhor	10	0.074660633
41	Hapmic	11	0.020361991
42	Permic	11	0.109728507
43	Pcybri	12	0.061085973
44	Cypcol	12	0.156108598
45	Erecya	13	0.248868778
46	Astbur	14	0.458144797
47	Tromoo	15	0.323529412
48	Loblab	15	0.398190046
49	Petmac	15	0.481900452
50	Petpol	15	0.187782806
51	Simdia	15	0.436651584
52	Intloo	15	0.368778281
53	Petfam	15	0.38122172
54	Limdar	15	0.338235295
55	Ctehor	15	0.415158371
56	Gnapfe	15	0.133484163
57	Psccur	15	0.591628959
