entrezgene_id	description	external_gene_name	chromosome_name	start_position	end_position
100690021	bone morphogenetic protein receptor type 1B [Source:NCBI gene;Acc:100690021]	pdlim5a	LG12	20434493	20564439
100691266	EPH receptor A6 [Source:NCBI gene;Acc:100691266]	EPHA6	LG16	11506447	11678240
100692323	KIT proto-oncogene, receptor tyrosine kinase [Source:NCBI gene;Acc:100692323]	kita	LG23	37623105	37644218
100692594	platelet derived growth factor receptor alpha [Source:NCBI gene;Acc:100692594]	pdgfra	LG23	37585191	37601860
100692708	neurotrophic receptor tyrosine kinase 2 [Source:NCBI gene;Acc:100692708]	ntrk2a	LG12	20832394	20947157
100695709	epidermal growth factor receptor [Source:NCBI gene;Acc:100695709]	egfra	LG18	19884642	20077518
100696145	ephrin type-B receptor 1-B [Source:NCBI gene;Acc:100696145]	ephb1	LG18	14793925	14945414
100698004	neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:100698004]	ntrk3b	LG1	33526585	33731922
100698484	bone morphogenetic protein receptor type 1B [Source:NCBI gene;Acc:100690021]	pdlim5a	LG12	20434493	20564439
100699123	neuropilin-1a [Source:NCBI gene;Acc:100699123]	NRP1	LG18	28451708	28545269
100701099	EPH receptor A10 [Source:NCBI gene;Acc:100701099]		LG22	14356171	14512264
100703725	NT-3 growth factor receptor [Source:NCBI gene;Acc:100703725]	ntrk3a	LG7	40046206	40122487
100710577	ALK receptor tyrosine kinase [Source:NCBI gene;Acc:100710577]	alk	LG19	24161911	24567389
100711033	fms related tyrosine kinase 4 [Source:NCBI gene;Acc:100711033]	flt4	LG2	28296369	28346180
100690922	Rho GTPase activating protein 26 [Source:NCBI gene;Acc:100690922]	ARHGAP26	LG10	20173027	20256953
100693522	RAS protein activator like 1 [Source:NCBI gene;Acc:100693522]	RASAL1	LG12	11735656	11750266
100696216	TSC complex subunit 2 [Source:NCBI gene;Acc:100696216]	tsc2	LG6	31156659	31186448
100696391	small G protein signaling modulator 1 [Source:NCBI gene;Acc:100696391]	sgsm1b	LG7	22045840	22059069
100696997	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:NCBI gene;Acc:100696997]		LG3	18201029	18354737
100698777	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:NCBI gene;Acc:100698777]	asap2a	LG19	12599633	12659208
100706384	rho GTPase-activating protein 42 [Source:NCBI gene;Acc:100706384]		LG10	13789038	13807644
100707120	chimerin 2 [Source:NCBI gene;Acc:100707120]	chn2	LG11	18446487	18466442
100708218	StAR related lipid transfer domain containing 13 [Source:NCBI gene;Acc:100708218]	STARD13	LG10	16085924	16136453
100708789	ecotropic viral integration site 5 [Source:NCBI gene;Acc:100708789]	evi5b	LG23	31249670	31293518
100708930	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 [Source:NCBI gene;Acc:100708930]	agap1	LG23	24689205	24853165
100709511	signal-induced proliferation-associated 1-like protein 1 [Source:NCBI gene;Acc:100709511]	sipa1l1	LG15	15788557	15875376
100710841	breakpoint cluster region protein [Source:NCBI gene;Acc:100710841]	bcr	LG7	24791666	24880564
100711250	rho GTPase-activating protein 21 [Source:NCBI gene;Acc:100711250]	arhgap21b	LG18	16526186	16560890
100690378	unconventional myosin-Ig [Source:NCBI gene;Acc:100690378]	myo1g	LG22	13230155	13292199
100698173	centromere protein E [Source:NCBI gene;Acc:100698173]		LG15	28831216	28859254
100701943	kinesin family member 26A [Source:NCBI gene;Acc:100701943]	kif26ab	LG19	11160865	11223124
100703634	cingulin [Source:NCBI gene;Acc:100703634]	tuft1	LG11	20745936	20776487
